Name,deltaE_V
101355_b3lyp_0,1.6815789319587753
101355_b3lyp_1,1.5573721148365498
101355_b3lyp_prop_0,1.3433401901855822
101355_b3lyp_prop_1,1.2656922215890345
10154120_b3lyp_0,1.6875382468786362
10154120_b3lyp_1,1.6832660439454996
10154120_b3lyp_prop_0,1.362687555060064
10154120_b3lyp_prop_1,1.380238962015058
10154120_b3lyp_prop_2,1.1823026299428292
102160488_b3lyp_0,1.825636526403292
102160488_b3lyp_1,2.174719044411602
102160488_b3lyp_2,1.9506868995181068
102160488_b3lyp_prop_0,1.8991619552264127
102160488_b3lyp_prop_1,1.725607112503631
102160488_b3lyp_prop_2,1.879283966420572
102160488_b3lyp_prop_3,1.692368285225172
102182508_b3lyp_0,1.14496847437453
102182508_b3lyp_1,1.1874728118357285
102182508_b3lyp_3,1.1866292558431395
102182508_b3lyp_4,1.7143415582730115
102182508_b3lyp_5,1.7193076540405738
102182508_b3lyp_6,1.4434784500180449
102182508_b3lyp_prop_0,1.178873983002282
102182508_b3lyp_prop_1,1.1530502850183548
102182508_b3lyp_prop_2,1.1138657485618475
102182508_b3lyp_prop_3,1.1539754754617049
102182508_b3lyp_prop_4,1.1796359045441105
102182508_b3lyp_prop_7,1.208153539410343
10281_b3lyp_0,1.3843206845631235
10281_b3lyp_prop_0,1.057034564957811
10281_b3lyp_prop_1,1.057265862569827
10419488_b3lyp_0,1.3619800564854094
10419488_b3lyp_1,1.2868083329025095
10419488_b3lyp_2,1.1189679017457987
10419488_b3lyp_prop_1,1.0317414909053182
10419488_b3lyp_prop_2,0.9966930999640128
10986586_b3lyp_0,1.4313149168261166
10986586_b3lyp_1,1.365272646006514
10986586_b3lyp_2,1.0601230683520704
10986586_b3lyp_prop_1,1.093824490852977
10986586_b3lyp_prop_2,1.083456915582083
10986586_b3lyp_prop_3,0.8877247136861627
11029986_b3lyp_2,1.4757376638844717
11029986_b3lyp_3,1.4886359071361877
11029986_b3lyp_4,1.5064186117016136
11029986_b3lyp_prop_0,1.1431997279370825
11029986_b3lyp_prop_1,1.146097750946271
11029986_b3lyp_prop_2,1.1577306602052195
11040862_b3lyp_0,2.1906241566052707
11040862_b3lyp_1,1.5878897937506622
11040862_b3lyp_2,1.6804496553870718
11040862_b3lyp_prop_0,1.2712297585118086
11040862_b3lyp_prop_1,1.250453790744659
11040862_b3lyp_prop_2,1.327911278956136
11122_b3lyp_0,1.452920834845589
11122_b3lyp_1,1.468662678136228
11122_b3lyp_2,1.4764179509770854
11122_b3lyp_prop_0,1.1118929159960091
11122_b3lyp_prop_2,1.1233625563566032
11228886_b3lyp_1,1.444553303622612
11228886_b3lyp_2,1.4477506529511812
11228886_b3lyp_3,1.477207084002501
11228886_b3lyp_prop_0,1.0977565502413338
11228886_b3lyp_prop_2,1.1634314660310614
11309532_b3lyp_1,1.504064818365596
11309532_b3lyp_2,1.5435758926251086
11309532_b3lyp_3,1.5184869046994232
11309532_b3lyp_prop_0,1.253542294138918
11309532_b3lyp_prop_1,1.1484923615060665
11355645_b3lyp_0,1.873623977820129
11355645_b3lyp_1,1.8298543063677464
11355645_b3lyp_prop_0,1.630258073793964
11355645_b3lyp_prop_2,1.7276071565515485
11805258_b3lyp_0,1.5207862750682668
11805258_b3lyp_1,1.1103826786541264
11805258_b3lyp_prop_0,1.1996499507694318
11805258_b3lyp_prop_1,0.9831689925899486
11958_b3lyp_0,1.3017610431677331
11958_b3lyp_1,1.5343103824423687
11958_b3lyp_prop_0,0.966284266984248
11958_b3lyp_prop_1,1.2466169715488375
12078641_b3lyp_0,1.151077452454062
12078641_b3lyp_1,1.5822570166338064
12078641_b3lyp_2,1.3991781546358115
12078641_b3lyp_prop_0,1.0134417681502703
12078641_b3lyp_prop_1,1.2381678058751
12209139_b3lyp_0,1.268440581436968
12209139_b3lyp_1,1.1479345260926668
12344381_b3lyp_0,1.1782073016529888
12344381_b3lyp_1,1.2187252008080824
12344381_b3lyp_2,1.5653314738042905
12344381_b3lyp_3,1.4885134554585195
12344381_b3lyp_4,1.1835271467071056
12344381_b3lyp_5,1.1579347463336485
12344381_b3lyp_prop_0,1.0381634010460432
